,Company,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Base Model,Car Age,Age Segment,Price Segment,Engine CC,Max Power,Fuel_Diesel,Fuel_Hybrid,Fuel_LPG,Fuel_Petrol,Fuel_Petrol+CNG
0,Honda,Amaze 1.2 VX i-VTEC,505000,2017,87150,1,Pune,Grey,1.0,Corporate,109.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,Amaze 1.2,8,Mid-Age,Low to Mid Range,1198,87.0,0,0,0,1,0
1,Maruti Suzuki,Swift DZire VDI,450000,2014,75000,1,Ludhiana,White,2.0,Individual,190.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,Swift Dzire,11,Mid-Age,Low to Mid Range,1248,74.0,1,0,0,0,0
2,Hyundai,i10 Magna 1.2 Kappa2,220000,2011,67000,1,Lucknow,Maroon,1.0,Individual,112.7619,FWD,3585.0,1595.0,1550.0,5.0,35.0,I10 Magna,14,Old,Low to Mid Range,1197,79.0,0,0,0,1,0
3,Toyota,Glanza G,799000,2019,37500,1,Mangalore,Red,1.0,Individual,113.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,Glanza G,6,New,Low to Mid Range,1197,82.0,0,0,0,1,0
4,Toyota,Innova 2.4 VX 7 STR [2016-2020],1950000,2018,69000,1,Mumbai,Grey,1.0,Individual,343.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,Innova 2.4,7,Mid-Age,Low to Mid Range,2393,148.0,1,0,0,0,0
5,Maruti Suzuki,Ciaz ZXi,675000,2017,73315,1,Pune,Grey,1.0,Individual,130.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,Ciaz Zxi,8,Mid-Age,Low to Mid Range,1373,91.0,0,0,0,1,0
6,BMW,X1 xDrive20d M Sport,2650000,2017,75000,2,Coimbatore,White,2.0,Individual,400.0,AWD,4439.0,1821.0,1612.0,5.0,51.0,X1 Xdrive20D,8,Mid-Age,Low to Mid Range,1995,188.0,1,0,0,0,0
7,Skoda,Octavia 1.8 TSI Style Plus AT [2017],1390000,2017,56000,2,Mumbai,White,1.0,Individual,250.0,FWD,4670.0,1814.0,1476.0,5.0,50.0,Octavia 1.8,8,Mid-Age,Low to Mid Range,1798,177.0,0,0,0,1,0
8,Nissan,Terrano XL (D),575000,2015,85000,1,Mumbai,White,1.0,Individual,200.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,Terrano Xl,10,Mid-Age,Low to Mid Range,1461,84.0,1,0,0,0,0
9,Hyundai,Elite i20 Sportz 1.2,591000,2017,20281,1,Mumbai,Red,1.0,Individual,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,8,Mid-Age,Low to Mid Range,1197,82.0,0,0,0,1,0
10,Renault,Kwid 1.0 RXT [2016-2019],459999,2018,22541,1,Bangalore,Grey,1.0,Individual,91.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,Kwid 1.0,7,Mid-Age,Low to Mid Range,999,67.0,0,0,0,1,0
11,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],1075000,2019,30672,2,Bangalore,Blue,1.0,Individual,138.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,Ciaz Alpha,6,New,Low to Mid Range,1462,103.0,0,0,0,1,0
12,Tata,Harrier XZ [2019-2020],1695000,2019,20856,1,Bangalore,Orange,1.0,Individual,350.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,Harrier Xz,6,New,Low to Mid Range,1956,138.0,1,0,0,0,0
13,Volkswagen,Polo GT TSI,944999,2017,41417,2,Bangalore,Grey,1.0,Individual,175.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,Polo Gt,8,Mid-Age,Low to Mid Range,1197,103.0,0,0,0,1,0
14,Maruti Suzuki,Celerio ZXi AMT [2019-2020],569000,2016,11471,2,Bangalore,Red,1.0,Individual,90.0,FWD,3695.0,1600.0,1560.0,5.0,35.0,Celerio Zxi,9,Mid-Age,Low to Mid Range,998,67.0,0,0,0,1,0
15,Maruti Suzuki,Alto 800 LXi (O),449000,2019,3583,1,Bangalore,Grey,1.0,Individual,69.0,FWD,3445.0,1515.0,1475.0,5.0,35.0,Alto 800,6,New,Low to Mid Range,796,47.0,0,0,0,1,0
16,Maruti Suzuki,Baleno Alpha Automatic,894999,2018,21365,2,Bangalore,Grey,1.0,Individual,113.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,Baleno Alpha,7,Mid-Age,Low to Mid Range,1197,82.0,0,0,0,1,0
17,Maruti Suzuki,Wagon R ZXi 1.2 AMT,699000,2020,30777,2,Bangalore,White,1.0,Individual,113.0,FWD,3655.0,1620.0,1675.0,5.0,32.0,Wagon R,5,New,Low to Mid Range,1197,82.0,0,0,0,1,0
18,Hyundai,Creta 1.6 E Petrol,740000,2016,60125,1,Delhi,Silver,1.0,Individual,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta 1.6,9,Mid-Age,Low to Mid Range,1591,122.0,0,0,0,1,0
